"8","aşk bir ateş şarkı sözleri","müslüm gürses","  kim demiş ki aşk yalan gözündeki yaş nedir gizli gizli kalbinde bu yanan ateş nedir aşk bir ateşe benzer sönmez güneşe benzer aşkı bilmeyen insan tıpkı bir taşa benzer kerem yandı kül oldu yusuf da köle oldu hep bu aşkın yüzünden adem cennetten oldu "
"8","aşk bu şarkı sözleri","müslüm gürses","  zor zor ah çok zor kor düşerse i̇çindeki nefese sen dursan da yolun yürür ateşe kanatları tutuşur meleklerin can susar kanar kalbindeki köşe bak ruhun şimdi tanıyor kendini aşk bu aşk bu ten bu can bu aşk bu aşk bu ten bu can bu kederle parlar ateşteki neşe kanatları tutuşur meleklerin kederle parlar ateşteki neşe "
"8","ayırdılar sevenleri şarkı sözleri","müslüm gürses","  bir güzel sevmiştim yanağı gamze benziyordu gülüşü saz ile söze aldılar elimden kaderle felek ayırdılar sevenleri kıydılar bize önce kerem oldum aslıyı seven sonra ferhat oldum dağları delen şimdi mecnun oldum çöllerde gezen razıyım yarabbim var ise cezam bir çift sözüm kaldı o da selamdır kaderin ettiklerine bir kaç kelamdır huzuru mahşerde kurulsun divan feleğin elinden rabbim viranım viran "
"8","ayrılık acı birşey şarkı sözleri","müslüm gürses","  hep sen varsın aklımda… düşünmem baksa bir şey gelde bitsin bu hasret ayrılık acı bir şey… gecelerin uğultusu benim feryadım… fırtınalar kasırgalar benim ağıdım… bir burukluk sarıyor gözlerim doluyor ağlıyorum özleminle ağlıyorum ağlıyorum ağlıyorum özleminle öyle zoraki yokluğun i̇mkansız alışamam öyle büyük sevdayı… ne yapsam unutamam… gecelerin uğultusu benim feryadım… fırtınalar kasırgalar benim ağıdım… bir burukluk sarıyor gözlerim doluyor ağlıyorum özleminle ağlıyorum ağlıyorum ağlıyorum özleminle "
"8","ayrılık gelip çatınca şarkı sözleri","müslüm gürses"," ayrilik gelip çatinca dur demek elde mi ayrilik gelip çatinca dur demek elde mi sevdimse delicesine allah vergisidir tanri vergisidir sevmemek eldemi kabahat bendemi seversin gönülden koşarsin peşinden anlayan olmaz senin gönül derdirden seversin gönülden koşarsin peşinden anlayan olmaz senin gönül derdirden hasret boynumu buktu sevgilim gel su derdime derman ol benim hasret boynumu buktu sevgilim gel su derdime derman ol benim sevdimse delicesine allah vergisidir tanri vergisidir sevmemek eldemi kabahat bendemi seversin gönülden koşarsin peşinden anlayan olmaz senin gönül derdirden "
"8","ayrılık rüzgarı şarkı sözleri","müslüm gürses","  dün gece içtim kadehler dolusu yine sensiz dolaştım sokaklarda lslak kaldırımlarda gözlerime yaşlar doldu soğuk bir rüzgar okşadı yüzümü ayrılık rüzgarı tanıdım onu ıslak nefesinden allahım bilmem neden geldi bunlar başıma birdenbire kapıldık ayrılık rüzgarına oysa hayat akıp gider sanki bir şey olmamışçasına güneş de doğuyor gülerek umutsuz yarınlarıma bir ayrılık şarkısı dolaşır dillerde seven gönüllerde sevgilim ellerin artık tutmayacak ellerimi boşuna arayacak gözlerin gözlerimi kim bilir belki de bir gün unutacaksın aşkımı ve beni bense hep seni sevdim unuttum gözlerinde gözlerimi "
"8","bulunur elbet şarkı sözleri","müslüm gürses","  unuttum artık seni sildim bütün aşkını kaderinin önünde eğme sakın başını yanağına dökülen bir damla göz yaşını sen silmesen olur sen silmesen olur silen bulunur elbet yaşayan sevgimizi öldürdün bile bile tertemiz aşkımız düştü dilden dile seni deliler gibi seven deli gönüle sen girmesen olur sen girmesen olur giren bulunur elbet benden başka birini seviyorsan saklama her derdin çaresi var boşa kürek sallama beni gelecek diye yollarımda bekleme ben gelmesem olur ben gelmesem olur gelen bulunur elbet "
"8","bunca gamı bunca derdi şarkı sözleri","müslüm gürses","  bunca gamı bunca derdi zalim felek bana mı verdi herkes muradına erdi yine cananım gelmedi erisin dağların karı soldu gönlümün baharı ecel kapımı çalmadan sen gel ey ömrümün varı ali baba yoktur hile felek vurdu bana sille can başladı çürümeye yine cananım gelmedi erisin dağların karı soldu gönlümün baharı ecel kapımı çalmadan sen gel ey ömrümün varı "
"8","a canım şarkı sözleri","müslüm gürses","  dön artık ne olur gel artık ne olur nerdesin a canım sensiz yaşanmıyor nerdesin a canım sabah olmaz gecelerim sen gittiğin günden beri sonu gelmez dertlerimin hasret kesti nefesimi taş değdi bak dizlerime yaş doldu bak gözlerime yazık etme gel bu sevgiye "
"8","ah gülüm şarkı sözleri","müslüm gürses","  ah gülüm camekanda görmüşler ah gülüm ah gülüm siyah saçın sırma ile örmüşler ah kurban ah kurman ah rüyamda seni bana vermişler ah gülüm ah gülüm deli poyraz gibi esmesini bilmedim ah gülüm ah gülüm murad alıp doya gülmedim ah gülüm ah gülüm kendime küstüm sana küsmedim ah gülüm ah gülüm "
"8","aldatılanlar şarkı sözleri","müslüm gürses","  hiçbir zaman gülemezler i̇nanıpta sevemezler muradına eremezler aldatılanlar aldatılanlar umut bağlar yarınlara hasret çeker mutluluğa mutluyum der soranlara aldatılanlar aldatılanlar boynu bükük gezerler bin bir çileyi çekerler yinede candan severler aldatılanlar aldatılanlar "
